"ACKERMAN, Gary Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000022,1942- ,Representative,Democrat,NY,112(2011-2012),B.A.,Queens College,1965," Flushing, N.Y."
"ADAMS, Sandra (Sandy)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000366,1956- ,Representative,Republican,FL,112(2011-2012),B.A.,Columbia College,2000," Orlando, Fla."
"ADERHOLT, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000055,1965- ,Representative,Republican,AL,112(2011-2012),B.A.,Birmingham Southern College,1987," Birmingham, Ala."
"ADERHOLT, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000055,1965- ,Representative,Republican,AL,112(2011-2012),J.D.,Samford University,1990," Birmingham, Ala."
"AKIN, W. Todd",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000358,1947- ,Representative,Republican,MO,112(2011-2012),B.S.,Worcester Polytechnic Institute,1971," Worcester, Mass."
"ALTMIRE, Jason",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000362,1968- ,Representative,Democrat,PA,112(2011-2012),B.S.,Florida State University,1990," Tallahassee, Fla."
"ALTMIRE, Jason",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000362,1968- ,Representative,Democrat,PA,112(2011-2012),M.H.S.A.,George Washington University,1998," Washington, D.C."
"AMASH, Justin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000367,1980- ,Representative,Republican,MI,112(2011-2012),A.B.,University of Michigan,2002," Ann Arbor, Mich."
"AMASH, Justin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000367,1980- ,Representative,Republican,MI,112(2011-2012),J.D.,University of Michigan,2005," Ann Arbor, Mich."
"AMODEI, Mark E.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000369,1958- ,Representative,Republican,NV,112(2011-2012),B.A.,University of Nevada,1980," Reno, Nev."
"AMODEI, Mark E.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000369,1958- ,Representative,Republican,NV,112(2011-2012),J.D.,University of the Pacific,1983," McGeorge School of Law, Sacramento, Calif."
"ANDREWS, Robert Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210,1957- ,Representative,Democrat,NJ,112(2011-2012),B.S.,Bucknell University,1979," Lewisburg, Pa."
"ANDREWS, Robert Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210,1957- ,Representative,Democrat,NJ,112(2011-2012),J.D.,Cornell Law School,1982," Ithaca, N.Y."
"AUSTRIA, Steve",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000365,1958- ,Representative,Republican,OH,112(2011-2012),B.A.,Marquette University,1982," Milwaukee, Wis."
"BACA, Joe",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001234,1947- ,Representative,Democrat,CA,112(2011-2012),B.A.,California State University,1971," Los Angeles, Calif."
"BACHMANN, Michele",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001256,1956- ,Representative,Republican,MN,112(2011-2012),B.A.,Winona State University,1978," Winona, Minn."
"BACHMANN, Michele",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001256,1956- ,Representative,Republican,MN,112(2011-2012),J.D.,Coburn School of Law,1986," Oral Roberts University, Tulsa, Okla."
"BACHMANN, Michele",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001256,1956- ,Representative,Republican,MN,112(2011-2012),L.L.M.,College of William and Mary,1988," Williamsburg, Va."
"BACHUS, Spencer T., III",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000013,1947- ,Representative,Republican,AL,112(2011-2012),B.A.,Auburn University,1969," Auburn, Ala."
"BACHUS, Spencer T., III",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000013,1947- ,Representative,Republican,AL,112(2011-2012),J.D.,University of Alabama School of Law,1972," Tuscaloosa, Ala."
"BALDWIN, Tammy",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001230,1962- ,Representative,Democrat,WI,112(2011-2012),A.B.,Smith College,1984," Northampton, Mass."
