"ABZUG, Bella Savitzky",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000018,1920-1998,Representative,Democrat,NY,93(1973-1974),A.B.,Hunter College,1942, New York City
"ABZUG, Bella Savitzky",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000018,1920-1998,Representative,Democrat,NY,93(1973-1974),LL.B.,Columbia University Law School,1945, New York City
"ALEXANDER, William Vollie (Bill), Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000103,1934- ,Representative,Democrat,AR,93(1973-1974),B.A.,Rhodes College,1957," Memphis, Tenn."
"ALEXANDER, William Vollie (Bill), Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000103,1934- ,Representative,Democrat,AR,93(1973-1974),LL.B.,Vanderbilt University,1960," Nashville, Tenn."
"ANDERSON, Glenn Malcolm",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000189,1913-1994,Representative,Democrat,CA,93(1973-1974),B.A.,University of California,1936," Los Angeles, Calif."
"ANDERSON, John Bayard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000195,1922- ,Representative,Republican,IL,93(1973-1974),A.B.,University of Illinois,1942," Urbana, Ill."
"ANDERSON, John Bayard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000195,1922- ,Representative,Republican,IL,93(1973-1974),LL.M.,Harvard University Law School,1949," Cambridge, Mass."
"ANDREWS, Ike Franklin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000207,1925-2010,Representative,Democrat,NC,93(1973-1974),B.S.,University of North Carolina,1950, Chapel Hill
"ANDREWS, Ike Franklin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000207,1925-2010,Representative,Democrat,NC,93(1973-1974),LL.B.,same university,1952,None
"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,93(1973-1974),B.S.,DePaul University,1940," Chicago, Ill."
"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,93(1973-1974),M.A.,DePaul University,1942," Chicago, Ill."
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,93(1973-1974),B.A.,Yale University,1960,None
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,93(1973-1974),M.A.,Oxford University,1962, England
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,93(1973-1974),Ph.D.,economics,1965, Massachusetts Institute of Technology
"BADILLO, Herman",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000025,1929-2014,Representative,Democrat,NY,93(1973-1974),B.B.A.,City College of New York,1951,None
"BADILLO, Herman",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000025,1929-2014,Representative,Democrat,NY,93(1973-1974),LL.B.,Brooklyn Law School,1954,None
"BAKER, LaMar",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000069,1915-2003,Representative,Republican,TN,93(1973-1974),B.S.,Harding College,1940," Searcy, Ark."
